welc_resp.keys,welc_resp.rt,instr0_resp.keys,instr0_resp.rt,prep_resp.keys,prep_resp.corr,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,participant,,date,expName,psychopyVersion,frameRate,prep_resp.rt,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,resp.rt,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE,instr2_resp.keys,instr2_resp.rt,instr3_resp.keys,instr3_resp.rt,test_resp.keys,test_resp.rt,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,test.order,letter3,letter4,letterA2,letterB2,pickA,avoidB,outro_resp2.keys,outro_resp2.rt
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.246,2,0,92,24,1,91,c,R,C,B,,c,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.243,2,0,92,1,1,91,R,k,B,A,,,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.243,2,0,92,20,1,91,n,k,F,A,m,,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.11,2,0,92,25,1,91,c,R,C,B,,c,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.244,2,0,92,36,1,91,n,R,F,B,,c,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.177,2,0,92,38,1,91,c,M,C,E,,,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.313,2,0,92,23,1,91,R,c,B,C,,m,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.345,2,0,92,4,1,91,M,n,E,F,,,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.227,2,0,92,31,1,91,R,M,B,E,,m,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.262,2,0,92,42,1,91,i,M,d,e,,,,
,,,,,,,,,,,,,,,,,2019-05-23_22h56.32.446,Probabilistic Learning,3.1.0,60,,,,,,,,,1,0,6,3,1,5,hiragana4.xlsx,hiragana41.xlsx,,,,,,,,,,,,,,,,,m,0.027,2,0,92,17,1,91,M,k,E,A,m,,,
